07037;2011-07-29;14;100350.0
07299;2011-07-29;14;98550.0
07434;2011-07-29;17;97240.0
07558;2011-07-29;17;93540.0
07139;2011-07-29;20;100300.0
07747;2011-07-29;20;101030.0
07607;2011-07-29;23;101130.0
07790;2011-07-29;23;101260.0
07139;2011-07-30;05;100370.0
07240;2011-07-30;05;100630.0
07015;2011-07-30;08;101530.0
07255;2011-07-30;08;99990.0
07621;2011-07-30;08;97590.0
07621;2011-06-22;08;97570.0
07690;2011-06-22;08;101640.0
07005;2011-06-22;11;100400.0
07037;2011-06-22;11;99540.0
07207;2011-06-22;11;
07577;2011-06-22;11;100980.0
07747;2011-06-22;11;101210.0
07621;2011-06-22;14;97990.0
07643;2011-06-22;14;101840.0
07117;2011-06-22;17;100790.0
07690;2011-06-22;17;101520.0
07181;2011-06-22;23;97810.0
07015;2011-06-23;02;100890.0
07117;2011-06-23;02;101120.0
07207;2011-06-23;02;
07471;2011-06-23;02;92510.0
07510;2011-06-23;02;101550.0
07591;2011-06-23;02;91950.0
07790;2011-06-23;02;101580.0
07168;2011-06-23;05;100410.0
07577;2011-06-23;05;100890.0
07015;2011-06-23;11;101060.0
07650;2011-06-23;11;101410.0
07020;2011-06-23;14;101970.0
07190;2011-06-23;14;100020.0
07481;2011-06-23;14;99210.0
07139;2011-06-23;20;100500.0
07139;2011-06-23;23;100660.0
07434;2011-06-23;23;97670.0
07510;2011-06-23;23;101920.0
07761;2011-06-23;23;101640.0
07110;2011-06-24;02;101390.0
07139;2011-06-24;02;100720.0
07168;2011-06-24;02;100870.0
07434;2011-06-24;02;97710.0
07621;2011-06-24;02;98340.0
07790;2011-06-24;05;101410.0
07643;2011-06-24;08;102120.0
07015;2011-06-24;11;101710.0
07255;2011-07-30;11;100060.0
07335;2011-07-30;11;100620.0
07535;2011-07-30;14;98760.0
07577;2011-07-30;14;100610.0
07149;2011-07-30;17;100900.0
07222;2011-07-30;17;101580.0
07471;2011-07-30;20;92200.0
07110;2011-07-30;23;100750.0
07255;2011-07-30;23;99930.0
07661;2011-07-30;23;99570.0
07607;2011-07-31;08;101020.0
07650;2011-07-31;08;100830.0
07139;2011-07-31;11;100070.0
07335;2011-07-31;14;100260.0
07020;2011-07-31;20;101380.0
07190;2011-07-31;20;99870.0
07558;2011-07-31;20;93210.0
07314;2011-07-31;23;101270.0
07591;2011-08-01;02;91490.0
